mmsi,vessel_name,vessel_type,flag,latitude,longitude,sog_knots,cog_degrees,draught_m,length_m,direction,current_zone,nav_status,safety_assessment,timestamp
72486820,R/E ALIANZA G - C92,Remolcador de Empuje (Convoy),Argentina,-31.75896,-60.53527,5.3,356.0,3.1,177,Aguas Arriba (Ascendente),Paraná / Santa Fe,Underway using engine,Operación Normal,2026-09-19 11:16:20
74263707,R/E ITAIPU III - C98,Remolcador de Empuje (Convoy),Argentina,-27.46017,-58.85477,6.3,155.6,2.8,190,Aguas Abajo (Descendente),Confluencia / Corrientes,Underway using engine,Operación Normal,2026-09-19 11:06:20
71279092,R/E CAACUPE - C16,Remolcador de Empuje (Convoy),Paraguay,-29.56504,-59.3996,8.1,333.9,2.8,147,Aguas Arriba (Ascendente),Goya,Underway using engine,Operación Normal,2026-09-19 11:03:20
74577121,R/E PAMPERO V - C13,Remolcador de Empuje (Convoy),Paraguay,-27.66178,-58.95627,5.8,351.9,3.4,183,Aguas Arriba (Ascendente),Paso Puente General Belgrano,Underway using engine,Derrota Fuera del Canal Balizado,2026-09-19 11:16:20
72342606,R/E PAMPERO V - C87,Remolcador de Empuje (Convoy),Bolivia,-31.88488,-60.57604,6.3,344.3,2.9,180,Aguas Arriba (Ascendente),Paraná / Santa Fe,Underway using engine,Operación Normal,2026-09-19 11:03:20
78012568,R/E PAMPERO V - C10,Remolcador de Empuje (Convoy),Paraguay,-33.83243,-59.41737,8.2,182.6,3.1,172,Aguas Abajo (Descendente),San Pedro,Underway using engine,Operación Normal,2026-09-19 11:13:20
75062251,T/K DELTA STAR,Tanquero Fluvial,Paraguay,-32.85314,-60.66756,0.2,176.8,5.0,111,Aguas Abajo (Descendente),Polo San Lorenzo / San Martín,Restricted Maneuverability,Posible Varadura / Parada No Autorizada en Canal,2026-09-19 11:15:20
75689309,R/E CAACUPE - C10,Remolcador de Empuje (Convoy),Argentina,-29.64017,-59.41977,5.2,160.2,3.1,229,Aguas Abajo (Descendente),Goya,Underway using engine,Operación Normal,2026-09-19 11:08:20
77260015,R/E ALIANZA G - C61,Remolcador de Empuje (Convoy),Paraguay,-34.25203,-58.74792,5.9,171.6,3.3,210,Aguas Abajo (Descendente),Campana (Paraná de las Palmas),Underway using engine,Operación Normal,2026-09-19 10:59:20
75174044,R/E YASYRETA - C15,Remolcador de Empuje (Convoy),Paraguay,-34.02811,-59.13144,9.0,346.7,2.7,231,Aguas Arriba (Ascendente),San Pedro,Underway using engine,Operación Normal,2026-09-19 11:11:20
73671373,T/K SOL DEL PLATA,Tanquero Fluvial,Argentina,-28.72859,-59.16374,7.8,166.7,3.8,133,Aguas Abajo (Descendente),Bella Vista,Underway using engine,Operación Normal,2026-09-19 11:03:20
76164384,R/E GUARAN I - C67,Remolcador de Empuje (Convoy),Paraguay,-28.67085,-59.14912,14.2,169.9,2.7,220,Aguas Abajo (Descendente),Bella Vista,Underway using engine,Exceso de Velocidad en Solera Estrecha,2026-09-19 11:01:20
76310854,T/K SOL DEL PLATA,Tanquero Fluvial,Paraguay,-27.46306,-58.8581,7.8,9.4,5.2,100,Aguas Arriba (Ascendente),Confluencia / Corrientes,Underway using engine,Operación Normal,2026-09-19 11:01:20
77862083,M/V NORDIC BULKER,Granelero Panamax / Handymax,Malta,-30.73972,-59.95056,11.3,153.6,9.1,185,Aguas Abajo (Descendente),La Paz,Underway using engine,Operación Normal,2026-09-19 11:02:20
76882082,R/E CAACUPE - C28,Remolcador de Empuje (Convoy),Bolivia,-28.8812,-59.19697,8.8,350.7,3.1,181,Aguas Arriba (Ascendente),Bella Vista,Underway using engine,Operación Normal,2026-09-19 11:15:20
76912049,R/E GUARAN I - C57,Remolcador de Empuje (Convoy),Paraguay,-33.93966,-59.27463,6.5,355.3,2.7,187,Aguas Arriba (Ascendente),San Pedro,Underway using engine,Operación Normal,2026-09-19 11:02:20
76369040,T/K DELTA STAR,Tanquero Fluvial,Paraguay,-27.45961,-58.85276,10.3,164.9,5.9,107,Aguas Abajo (Descendente),Confluencia / Corrientes,Underway using engine,Operación Normal,2026-09-19 11:04:20
